H0	18.19	28.03
C80	19.01	14.36
C30	20.49	14.03
C8	14.78	7.61
H14	15.88	26.66

H14	15.88	26.66
C68	17.02	12.33
C51	17.46	2.56
H2	13.57	2.09

H2	13.57	2.09
C44	13.51	8.05
C53	11.96	15.15
H16	0.3	24

H16	0.3	24
C99	4.34	9.51
C36	0.3	9.16
C77	3.69	14.33
H3	7.49	19.85

H3	7.49	19.85
C88	10.35	6.18
C95	10.92	4.13
C64	6.48	2.46
H11	3.94	24.76

H11	3.94	24.76
C7	3.94	10.77
C22	3.77	7.84
C61	4.46	7.85
C24	15.88	5.54
C15	16.71	9.5
H14	15.88	26.66

H14	15.88	26.66
C97	18.63	4.3
C93	14.5	0.3
C4	16.93	2.09
H12	7.14	29.43

H12	7.14	29.43
C19	10.24	3.02
C58	21.48	10.3
H15	20.49	6.34

H15	20.49	6.34
C43	22.78	15.42
C84	28.72	20.92
H15	20.49	6.34

H15	20.49	6.34
H1	2.38	28.01

