C84	28.72	20.92
C96	26.65	20.04
C14	17.54	29.43
C41	28.88	0.86
C28	27.5	17.66
C85	7.49	6.59
C9	2.41	25.06
C6	18.43	29.93
C93	14.5	0.3
C77	3.69	14.33
C58	21.48	10.3
C46	4.31	23.12
C20	3.54	26.16
C68	17.02	12.33
C53	11.96	15.15
C89	13.61	21.12
C13	13.44	24.76
C56	6.52	19.42
C26	20.5	25.33
C73	27.22	11.98
C91	12.58	26.64
C10	18.41	11.88
C29	19.41	20.67
C60	22.54	18.26
C71	1.88	3.33
C63	6.82	21.1
C80	19.01	14.36
C75	3.08	21.03
C39	19.12	20.2
C49	7.14	25.9
C90	0.26	14.37
C21	17.86	19.36
C38	22.69	23.13
C98	7.29	16.28
C88	10.35	6.18
C35	13.57	9.41
C87	17.52	0.97
C74	22.05	7.74
C37	0.45	23.35
C34	0.43	1.12
C31	20.9	7.67
C27	16.76	19.84
C40	7	21.44
C36	0.3	9.16
C61	4.46	7.85
C2	15.52	28.03
C50	1.04	13.47
C17	25.69	6.34
C12	7.14	0.48
C57	26.85	25.82
C3	9	28.01
C99	4.34	9.51
C32	2.75	25.4
C45	0.51	11.06
C47	19.68	25.62
C52	23.49	17.75
C70	13.97	18.49
C62	21.61	23.16
C33	16.1	19.74
C48	16.32	3.73
C7	3.94	10.77
C5	8.64	19.85
C69	0.2	24.8
C54	22.85	14.85
C92	21.57	24.07
C94	25.6	22.91
C16	12.38	26.66
C22	3.77	7.84
C72	14.25	23.83
C44	13.51	8.05
C86	12.19	16.11
C83	3.3	17.86
C66	7.03	28.12
C100	0	0
