C10	56	39
C7	13	52
C13	4	18
C5	60	12
C8	6	68
C3	55	5
C6	8	56
C4	31	52
C11	55	54
C14	28	18
C2	15	30
C47	67	5
C46	49	73
C49	47	16
C53	57	48
C33	35	69
C57	18	24
C32	40	60
C23	15	10
C45	62	77
C24	10	20
C21	50	35
C44	24	58
C17	55	20
C28	45	10
C37	11	14
C42	36	26
C41	57	29
C50	49	11
C29	45	30
C26	15	60
C61	18	18
C18	55	60
C36	5	5
C19	30	60
C38	6	38
C54	15	47
C31	41	37
C30	35	40
C56	26	35
C48	57	68
C52	53	43
C40	37	31
C35	65	55
C43	12	24
C16	55	45
C51	49	42
C39	47	47
C25	20	40
C20	20	65
C34	53	52
C55	14	37
C27	45	20
C59	22	27
C62	41	49
C81	49	58
C87	27	69
C100	19	21
C96	26	52
C91	44	17
C88	15	77
C82	27	43
C101	20	26
C76	40	25
C66	10	43
C72	64	42
C69	45	65
C73	63	65
C75	20	20
C92	46	13
C67	30	5
C85	32	12
C95	11	31
C63	35	17
C79	23	3
C84	53	12
C94	56	37
C71	65	20
C89	37	47
C90	37	56
C65	20	50
C74	2	60
C77	42	7
C78	24	12
C70	65	35
C93	61	52
C86	17	34
C64	25	30
C97	31	67
C68	5	30
C83	63	23
C98	15	19
C80	2	48
