H0	18.19	28.03
C82	20.49	13.59
C30	20.49	14.03
C43	22.78	15.42
H8	18.43	11.88

H8	18.43	11.88
C14	17.54	29.43
C2	15.52	28.03
C38	22.69	23.13
C28	27.5	17.66
H5	22.54	10.77

H5	22.54	10.77
C96	26.65	20.04
H0	18.19	28.03

H0	18.19	28.03
C97	18.63	4.3
C51	17.46	2.56
H3	7.49	19.85

H3	7.49	19.85
C88	10.35	6.18
C93	14.5	0.3
C4	16.93	2.09
H12	7.14	29.43

H12	7.14	29.43
C100	0	0
C64	6.48	2.46
C12	7.14	0.48
H3	7.49	19.85

H3	7.49	19.85
C19	10.24	3.02
C95	10.92	4.13
C98	7.29	16.28
H4	7.29	29.93

H4	7.29	29.93
C18	11.62	24
H11	3.94	24.76

H11	3.94	24.76
C7	3.94	10.77
C22	3.77	7.84
C61	4.46	7.85
C24	15.88	5.54
C8	14.78	7.61
H0	18.19	28.03

H0	18.19	28.03
H1	2.38	28.01

