H0	18.19	6.32	0
C58	21.48	10.3	21
C80	19.01	14.36	13
C68	17.02	12.33	17
C10	18.41	11.88	16
C8	14.78	7.61	26
C24	15.88	5.54	21
C4	16.93	2.09	24
C93	14.5	0.3	22
H13	16.32	3.73	0

H13	16.32	3.73	0
C31	20.9	7.67	8
C15	16.71	9.5	27
C18	11.62	24	27
C89	13.61	21.12	17
H6	18.43	29.93	0

H6	18.43	29.93	0
C6	18.43	29.93	23
C76	12.66	26.02	3
C16	12.38	26.66	1
C91	12.58	26.64	16
C2	15.52	28.03	7
C14	17.54	29.43	27
C96	26.65	20.04	28
C84	28.72	20.92	29
C28	27.5	17.66	24
H14	22.85	14.85	0

H14	22.85	14.85	0
C54	22.85	14.85	2
C82	20.49	13.59	8
C30	20.49	14.03	24
C43	22.78	15.42	27
C65	26.7	3.44	27
C51	17.46	2.56	28
C97	18.63	4.3	24
C42	19.6	2.11	14
C87	17.52	0.97	10
H12	19.6	2.11	0

H12	19.6	2.11	0
C64	6.48	2.46	25
C25	1.32	19.32	23
H1	2.38	18.26	0

