H0	18.19	28.03
C82	20.49	13.59
C30	20.49	14.03
C43	22.78	15.42
C54	22.85	14.85
H5	22.54	10.77

H5	22.54	10.77
C96	26.65	20.04
H1	2.38	28.01

H1	2.38	28.01
C83	3.3	17.86
C18	11.62	24
H9	2.75	17.24

H9	2.75	17.24
C9	2.41	25.06
C20	3.54	26.16
C79	1.57	19.84
C25	1.32	19.32
H1	2.38	28.01

H1	2.38	28.01
C53	11.96	15.15
C8	14.78	7.61
C15	16.71	9.5
H14	15.88	26.66

H14	15.88	26.66
C97	18.63	4.3
C78	26.93	13.06
H5	22.54	10.77

H5	22.54	10.77
C52	23.49	17.75
C84	28.72	20.92
H13	11.62	9.5

H13	11.62	9.5
C23	14.2	19.64
C81	14.24	18.8
C77	3.69	14.33
H3	7.49	19.85

H3	7.49	19.85
C88	10.35	6.18
C68	17.02	12.33
C28	27.5	17.66
H7	27.5	25.06

H7	27.5	25.06
H1	2.38	28.01

