H0	18.19	28.03
C30	20.49	14.03
C43	22.78	15.42
H4	7.29	29.93

H4	7.29	29.93
C86	12.19	16.11
C23	14.2	19.64
C89	13.61	21.12
C18	11.62	24
H4	7.29	29.93

H4	7.29	29.93
C53	11.96	15.15
C68	17.02	12.33
C58	21.48	10.3
C15	16.71	9.5
H2	13.57	2.09

H2	13.57	2.09
C44	13.51	8.05
C93	14.5	0.3
C4	16.93	2.09
C51	17.46	2.56
H3	7.49	19.85

H3	7.49	19.85
C88	10.35	6.18
C19	10.24	3.02
H13	11.62	9.5

H13	11.62	9.5
C78	26.93	13.06
H6	25.69	7.61

H6	25.69	7.61
C65	26.7	3.44
C41	28.88	0.86
C59	29.08	2.62
C55	28.47	6.08
H6	25.69	7.61

H6	25.69	7.61
C82	20.49	13.59
C80	19.01	14.36
C10	18.41	11.88
H13	11.62	9.5

H13	11.62	9.5
C81	14.24	18.8
C11	14.91	17.24
H15	20.49	6.34

H15	20.49	6.34
H1	2.38	28.01

