C65	26.7	3.44	27
C41	28.88	0.86	24
C28	27.5	17.66	24
C97	18.63	4.3	24
C78	26.93	13.06	24
C55	28.47	6.08	23
C19	10.24	3.02	23
C93	14.5	0.3	22
C58	21.48	10.3	21
C24	15.88	5.54	21
C81	14.24	18.8	19
C59	29.08	2.62	18
C68	17.02	12.33	17
C89	13.61	21.12	17
C73	27.22	11.98	16
C91	12.58	26.64	16
C10	18.41	11.88	16
C29	19.41	20.67	15
C42	19.6	2.11	14
C71	1.88	3.33	13
C80	19.01	14.36	13
C39	19.12	20.2	13
C90	0.26	14.37	13
C21	17.86	19.36	13
C38	22.69	23.13	13
C23	14.2	19.64	13
C98	7.29	16.28	12
C88	10.35	6.18	11
C35	13.57	9.41	11
C87	17.52	0.97	10
C74	22.05	7.74	10
C34	0.43	1.12	9
C95	10.92	4.13	8
C82	20.49	13.59	8
C31	20.9	7.67	8
C27	16.76	19.84	8
C36	0.3	9.16	7
C61	4.46	7.85	7
C2	15.52	28.03	7
C50	1.04	13.47	6
C17	25.69	6.34	6
C12	7.14	0.48	6
C57	26.85	25.82	6
C99	4.34	9.51	5
C45	0.51	11.06	5
C52	23.49	17.75	5
C70	13.97	18.49	4
C62	21.61	23.16	4
C33	16.1	19.74	3
C48	16.32	3.73	3
C7	3.94	10.77	3
C5	8.64	19.85	3
C54	22.85	14.85	2
C67	20.3	3.86	2
C92	21.57	24.07	2
C94	25.6	22.91	2
C16	12.38	26.66	1
C22	3.77	7.84	1
C72	14.25	23.83	1
C44	13.51	8.05	1
C86	12.19	16.11	1
C100	0	0	0
