C41	28.88	0.86	24
C85	7.49	6.59	24
C9	2.41	25.06	24
C25	1.32	19.32	23
C93	14.5	0.3	22
C58	21.48	10.3	21
C77	3.69	14.33	21
C11	14.91	17.24	21
C46	4.31	23.12	20
C81	14.24	18.8	19
C79	1.57	19.84	19
C20	3.54	26.16	18
C59	29.08	2.62	18
C68	17.02	12.33	17
C56	6.52	19.42	17
C91	12.58	26.64	16
C10	18.41	11.88	16
C42	19.6	2.11	14
C63	6.82	21.1	13
C49	7.14	25.9	13
C71	1.88	3.33	13
C80	19.01	14.36	13
C23	14.2	19.64	13
C90	0.26	14.37	13
C38	22.69	23.13	13
C98	7.29	16.28	12
C35	13.57	9.41	11
C87	17.52	0.97	10
C74	22.05	7.74	10
C37	0.45	23.35	10
C34	0.43	1.12	9
C82	20.49	13.59	8
C40	7	21.44	8
C27	16.76	19.84	8
C36	0.3	9.16	7
C61	4.46	7.85	7
C2	15.52	28.03	7
C12	7.14	0.48	6
C57	26.85	25.82	6
C17	25.69	6.34	6
C50	1.04	13.47	6
C99	4.34	9.51	5
C32	2.75	25.4	5
C45	0.51	11.06	5
C47	19.68	25.62	5
C70	13.97	18.49	4
C62	21.61	23.16	4
C33	16.1	19.74	3
C48	16.32	3.73	3
C7	3.94	10.77	3
C69	0.2	24.8	3
C76	12.66	26.02	3
C54	22.85	14.85	2
C67	20.3	3.86	2
C22	3.77	7.84	1
C16	12.38	26.66	1
C72	14.25	23.83	1
C44	13.51	8.05	1
C86	12.19	16.11	1
C66	7.03	28.12	1
C83	3.3	17.86	1
C100	0	0	0
