H0	18.19	6.32	0
C82	20.49	13.59	8
C43	22.78	15.42	27
C15	16.71	9.5	27
C51	17.46	2.56	28
C65	26.7	3.44	27
C55	28.47	6.08	23
H0	18.19	6.32	0

H0	18.19	6.32	0
C4	16.93	2.09	24
C8	14.78	7.61	26
C14	17.54	29.43	27
C18	11.62	24	27
C89	13.61	21.12	17
C21	17.86	19.36	13
H3	17.86	19.36	0

H3	17.86	19.36	0
C39	19.12	20.2	13
C29	19.41	20.67	15
C96	26.65	20.04	28
C84	28.72	20.92	29
C58	21.48	10.3	21
C59	29.08	2.62	18
C41	28.88	0.86	24
H0	18.19	6.32	0

H0	18.19	6.32	0
C48	16.32	3.73	3
C24	15.88	5.54	21
C97	18.63	4.3	24
C30	20.49	14.03	24
C64	6.48	2.46	25
C19	10.24	3.02	23
H12	19.6	2.11	0

H12	19.6	2.11	0
C87	17.52	0.97	10
C42	19.6	2.11	14
C93	14.5	0.3	22
C77	3.69	14.33	21
C98	7.29	16.28	12
C83	3.3	17.86	1
H1	2.38	18.26	0

