C10	56	39	36
C7	13	52	36
C13	4	18	35
C5	60	12	31
C8	6	68	30
C3	55	5	29
C6	8	56	27
C4	31	52	27
C11	55	54	26
C2	15	30	26
C47	67	5	25
C46	49	73	25
C49	47	16	25
C53	57	48	23
C33	35	69	23
C32	40	60	21
C23	15	10	20
C58	25	24	20
C45	62	77	20
C24	10	20	19
C21	50	35	19
C44	24	58	19
C17	55	20	19
C28	45	10	18
C37	11	14	18
C42	36	26	18
C41	57	29	18
C50	49	11	18
C29	45	30	17
C26	15	60	17
C61	18	18	17
C18	55	60	16
C36	5	5	16
C19	30	60	16
C38	6	38	16
C54	15	47	16
C31	41	37	16
C30	35	40	16
C56	26	35	15
C48	57	68	15
C52	53	43	14
C40	37	31	14
C35	65	55	14
C43	12	24	13
C16	55	45	13
C51	49	42	13
C39	47	47	13
C25	20	40	12
C20	20	65	12
C60	25	21	12
C34	53	52	11
C55	14	37	11
C27	45	20	11
C59	22	27	11
C62	41	49	10
C81	49	58	10
C87	27	69	10
C96	26	52	9
C91	44	17	9
C88	15	77	9
C82	27	43	9
C101	20	26	9
C76	40	25	9
C66	10	43	9
C72	64	42	9
C69	45	65	9
C73	63	65	8
C92	46	13	8
C67	30	5	8
C85	32	12	7
C95	11	31	7
C63	35	17	7
C79	23	3	7
C84	53	12	6
C94	56	37	6
C71	65	20	6
C89	37	47	6
C90	37	56	5
C65	20	50	5
C74	2	60	5
C77	42	7	5
C78	24	12	5
C70	65	35	3
C93	61	52	3
C86	17	34	3
C97	31	67	3
C68	5	30	2
C99	22	22	2
C83	63	23	2
C98	15	19	1
C80	2	48	1
C102	0	0	0
