H0	18.19	6.32	0
C31	20.9	7.67	8
C74	22.05	7.74	10
C65	26.7	3.44	27
C8	14.78	7.61	26
C24	15.88	5.54	21
C97	18.63	4.3	24
C51	17.46	2.56	28
C4	16.93	2.09	24
H7	7.14	0.48	0

H7	7.14	0.48	0
C64	6.48	2.46	25
C15	16.71	9.5	27
C96	26.65	20.04	28
H6	18.43	29.93	0

H6	18.43	29.93	0
C6	18.43	29.93	23
C47	19.68	25.62	5
C26	20.5	25.33	16
C14	17.54	29.43	27
C18	11.62	24	27
C25	1.32	19.32	23
C77	3.69	14.33	21
H1	2.38	18.26	0

H1	2.38	18.26	0
C98	7.29	16.28	12
C68	17.02	12.33	17
C30	20.49	14.03	24
C73	27.22	11.98	16
C78	26.93	13.06	24
H0	18.19	6.32	0

H0	18.19	6.32	0
C43	22.78	15.42	27
C23	14.2	19.64	13
H1	2.38	18.26	0

