H0	18.19	6.32	0
C97	18.63	4.3	24
C67	20.3	3.86	2
C87	17.52	0.97	10
C48	16.32	3.73	3
C4	16.93	2.09	24
C51	17.46	2.56	28
C15	16.71	9.5	27
C68	17.02	12.33	17
C10	18.41	11.88	16
H13	20.49	14.03	0

H13	20.49	14.03	0
C84	28.72	20.92	29
C38	22.69	23.13	13
C28	27.5	17.66	24
H6	27.5	17.66	0

H6	27.5	17.66	0
C61	4.46	7.85	7
H14	0.3	9.16	0

H14	0.3	9.16	0
C36	0.3	9.16	7
C64	6.48	2.46	25
C8	14.78	7.61	26
C24	15.88	5.54	21
H12	15.88	5.54	0

H12	15.88	5.54	0
C42	19.6	2.11	14
C65	26.7	3.44	27
C41	28.88	0.86	24
C59	29.08	2.62	18
C55	28.47	6.08	23
C31	20.9	7.67	8
H16	16.32	3.73	0

H16	16.32	3.73	0
C19	10.24	3.02	23
C93	14.5	0.3	22
C85	7.49	6.59	24
H10	7.14	0.48	0

H10	7.14	0.48	0
C95	10.92	4.13	8
C82	20.49	13.59	8
H15	19.6	2.11	0

H15	19.6	2.11	0
H1	2.38	18.26	0

