C84	28.72	20.92	29
C14	17.54	29.43	27
C28	27.5	17.66	24
C9	2.41	25.06	24
C6	18.43	29.93	23
C55	28.47	6.08	23
C19	10.24	3.02	23
C11	14.91	17.24	21
C46	4.31	23.12	20
C81	14.24	18.8	19
C79	1.57	19.84	19
C20	3.54	26.16	18
C13	13.44	24.76	17
C89	13.61	21.12	17
C68	17.02	12.33	17
C56	6.52	19.42	17
C91	12.58	26.64	16
C26	20.5	25.33	16
C10	18.41	11.88	16
C73	27.22	11.98	16
C29	19.41	20.67	15
C60	22.54	18.26	14
C63	6.82	21.1	13
C49	7.14	25.9	13
C71	1.88	3.33	13
C80	19.01	14.36	13
C75	3.08	21.03	13
C21	17.86	19.36	13
C23	14.2	19.64	13
C90	0.26	14.37	13
C38	22.69	23.13	13
C98	7.29	16.28	12
C88	10.35	6.18	11
C35	13.57	9.41	11
C37	0.45	23.35	10
C34	0.43	1.12	9
C95	10.92	4.13	8
C40	7	21.44	8
C27	16.76	19.84	8
C36	0.3	9.16	7
C61	4.46	7.85	7
C2	15.52	28.03	7
C57	26.85	25.82	6
C17	25.69	6.34	6
C50	1.04	13.47	6
C52	23.49	17.75	5
C99	4.34	9.51	5
C32	2.75	25.4	5
C45	0.51	11.06	5
C47	19.68	25.62	5
C70	13.97	18.49	4
C62	21.61	23.16	4
C33	16.1	19.74	3
C48	16.32	3.73	3
C7	3.94	10.77	3
C69	0.2	24.8	3
C76	12.66	26.02	3
C67	20.3	3.86	2
C92	21.57	24.07	2
C94	25.6	22.91	2
C22	3.77	7.84	1
C16	12.38	26.66	1
C72	14.25	23.83	1
C44	13.51	8.05	1
C86	12.19	16.11	1
C66	7.03	28.12	1
C83	3.3	17.86	1
C100	0	0	0
